Wall time,Step,Value
1502360462.918267,76583,4.493069648742676
1502360807.659714,76700,4.969775676727295
1502361155.086915,76816,4.501925468444824
1502361178.534163,76823,4.530121803283691
1502362038.217843,77108,4.641842842102051
1502364021.90865,77811,4.684880256652832
1502364666.951475,78045,4.373108863830566
1502364879.513827,78118,4.175512313842773
1502366495.437835,78685,4.367373466491699
1502366674.595467,78753,4.251729488372803
1502366896.155216,78830,4.844116687774658
1502366933.812794,78844,4.455846786499023
1502367049.081063,78883,4.609551429748535
1502367144.053327,78915,4.175832748413086
1502368796.891238,79507,4.431291103363037
1502369859.949493,79885,4.298123836517334
1502370023.126676,79941,4.862039566040039
1502370241.6364,80010,4.640928268432617
1502370419.864113,80075,4.655555725097656
1502371063.848907,80300,4.710102081298828
1502371116.240457,80316,4.760774612426758
1502371498.79992,80460,4.038876533508301
1502371578.742852,80486,4.337029457092285
1502371696.934912,80523,4.39251708984375
1502372807.97352,80906,4.617894172668457
1502372871.99354,80925,4.291567802429199
1502373147.897853,81027,4.50765323638916
1502373885.428718,81291,4.424457550048828
1502374213.582997,81404,4.462815284729004
1502377775.654474,82646,4.200445175170898
1502377872.455564,82680,4.507895469665527
1502378091.731907,82759,4.218432903289795
1502379385.306768,83177,4.496556758880615
1502380877.761947,83672,4.7574872970581055
1502382774.616811,84319,4.372731685638428
1502383315.834802,84511,4.320111274719238
1502384659.079644,84999,4.578135967254639
1502384900.878219,85079,4.749096870422363
1502385896.097191,85418,4.345416069030762
1502385992.031527,85449,4.592597007751465
1502386383.271082,85596,4.752085208892822
1502387335.920562,85924,4.37547492980957
1502389538.962328,86690,4.750775337219238
1502389791.453963,86775,4.270079612731934
1502390188.248148,86918,4.31317663192749
1502391285.293992,87303,4.6475958824157715
1502391449.173193,87360,4.448963165283203
1502392094.509731,87576,4.279158592224121
1502392580.664576,87739,4.466183185577393
1502393492.268473,88047,4.376458168029785
1502395094.146116,88584,4.353603839874268
1502395502.346219,88725,4.492932319641113
1502397051.564991,89257,3.949275255203247
1502397104.179934,89273,4.537208557128906
1502398233.202873,89655,4.520473003387451
1502398908.014784,89883,4.4983367919921875
1502399098.838478,89945,4.224387168884277
1502399711.898865,90147,4.632966995239258
1502402238.739069,91004,4.685724258422852
1502402843.113529,91210,4.084979057312012
1502403784.162732,91534,4.2241973876953125
1502403851.836863,91557,4.444288730621338
1502404097.258498,91642,4.211531639099121
1502404105.959712,91645,4.347014427185059
1502405241.299801,92030,4.469229221343994
1502407007.851093,92639,4.1631317138671875
1502407181.595294,92698,3.825505495071411
1502408196.951943,93036,4.224943161010742
1502408487.889139,93133,3.914440631866455
1502409226.382312,93381,4.652770042419434
1502410501.373387,93811,4.29934024810791
1502412341.841889,94446,4.221892833709717
1502413059.117657,94694,4.593017578125
1502413872.781791,94967,4.485640525817871
1502414611.573295,95231,4.216193199157715
1502414767.346964,95287,4.1647844314575195
1502414857.39922,95319,4.515417098999023
1502415053.091361,95390,4.3786163330078125
1502416437.642397,95859,4.664364814758301
1502416501.760831,95882,4.0102667808532715
1502417457.546352,96211,4.139984607696533
1502418124.629944,96445,4.059490203857422
1502418332.725784,96510,4.37555456161499
1502420139.20554,97136,4.292233943939209
1502420680.168618,97326,3.939192533493042
1502421203.08157,97506,4.481911659240723
1502421780.495283,97706,4.017730712890625
1502422051.690192,97786,4.37358283996582
1502422367.597704,97896,4.271467208862305
1502423033.875521,98122,4.404373645782471
1502423822.447585,98384,4.740389823913574
1502425557.777545,98965,4.040012836456299
1502426853.279115,99416,4.333511829376221
1502427160.953861,99524,4.327479362487793
1502427943.593805,99794,4.663930892944336
1502429927.744497,100476,4.161428928375244
1502429986.596471,100499,4.35377836227417
1502430806.6293,100768,4.138703346252441
1502430982.480484,100827,4.78419828414917
1502431204.586561,100907,4.075483322143555
1502431424.412784,100982,3.790374994277954
1502431890.692992,101144,4.279464244842529
1502432206.719625,101245,4.119014739990234
1502432676.968496,101409,4.340875148773193
1502433953.592263,101833,4.155823707580566
1502434009.261323,101853,4.648587703704834
1502435631.952847,102419,4.259506702423096
1502435721.728399,102451,3.8931570053100586
1502436108.253063,102595,4.335085391998291
1502436677.080017,102790,4.168299674987793
1502436771.141995,102821,4.230259418487549
1502436930.639329,102876,4.163703441619873
1502437033.750974,102911,4.514101982116699
1502437058.747347,102921,4.502227783203125
1502437636.472185,103116,4.114396095275879
1502438552.215299,103427,4.343769073486328
1502439833.971966,103857,4.359908103942871
1502440783.230298,104186,4.28997802734375
1502440963.817099,104244,3.977240800857544
1502442531.181894,104792,4.179498672485352
1502442574.818856,104806,4.051984786987305
1502442620.581154,104821,4.619051456451416
1502442651.075988,104834,4.433038711547852
1502443147.361497,105003,3.999079465866089
1502444028.828379,105344,4.649276256561279
1502444512.554185,105520,3.9367246627807617
1502444945.098888,105684,4.228110313415527
1502444980.803602,105698,4.208515167236328
1502446082.998092,106120,4.618039608001709
1502446238.107889,106177,4.2078704833984375
1502446560.325134,106300,4.389034271240234
1502447010.356876,106476,4.185481071472168
1502447266.895959,106576,4.619720458984375
1502448395.139266,107013,3.4969584941864014
1502450401.086499,107747,4.572565078735352
1502452487.525091,108496,4.159510612487793
1502454302.611033,109152,4.179966926574707
1502454304.757302,109153,4.267797946929932
1502454471.402871,109211,4.481442928314209
1502455015.773703,109411,4.637359142303467
1502455882.631482,109732,4.268438339233398
1502456865.908007,110101,4.309557914733887
1502456970.210389,110134,4.04695987701416
1502457531.702802,110328,4.147680282592773
1502458005.431795,110496,4.273433208465576
1502458166.666567,110551,4.236662864685059
1502458454.938535,110647,4.300073146820068
1502459684.131416,111104,4.424020767211914
1502460040.818786,111233,4.0156941413879395
1502461062.666651,111608,4.400363445281982
1502461677.212216,111825,3.884845495223999
1502463767.800721,112574,4.644378662109375
1502463872.417915,112613,3.7689085006713867
1502464423.612628,112812,4.309603691101074
1502465569.211099,113232,4.185072898864746
1502466302.945324,113499,4.061864852905273
1502466714.269945,113651,4.237561225891113
1502467376.038969,113890,4.111845016479492
1502468201.026904,114202,4.563580513000488
1502468638.695098,114369,4.573234558105469
1502470417.343909,115006,3.834542751312256
1502471586.329372,115416,4.00992488861084
1502471621.950249,115428,4.2100090980529785
1502472301.897856,115675,3.8042614459991455
1502472810.558117,115783,3.39383864402771
1502473274.660701,115944,3.1182827949523926
1502475097.036409,116578,3.6063232421875
1502475206.005522,116616,3.558452606201172
1502475412.641656,116688,3.7167325019836426
1502475522.364336,116727,2.2073721885681152
1502476072.631344,116921,3.9434006214141846
1502476161.440268,116952,3.73323917388916
1502476464.835902,117060,3.565544843673706
1502477849.881395,117540,3.8045506477355957
1502478427.556807,117730,3.9072670936584473
1502478773.890564,117846,3.7166056632995605
1502479503.997641,118095,3.7367897033691406
1502480847.377521,118556,3.834089994430542
1502481614.275566,118813,3.7972965240478516
1502481883.918218,118903,3.2544941902160645
1502482770.859967,119207,3.48876953125
1502483271.811118,119375,3.9679372310638428
1502484785.557283,119884,3.84401798248291
1502488365.163531,121097,4.000751972198486
1502488367.706392,121098,3.6882259845733643
1502488761.369946,121237,3.819218158721924
1502488850.438418,121267,4.195837020874023
1502488964.615178,121308,3.415372371673584
1502490222.232525,121740,3.9106802940368652
1502491293.560828,122110,3.5831899642944336
1502492543.30151,122527,3.846987724304199
1502492579.178897,122539,4.114273548126221
1502492883.362419,122644,3.5109143257141113
1502493845.095024,122973,3.558777093887329
1502495414.788711,123514,3.867687225341797
1502495483.985263,123538,3.342660665512085
1502495581.613055,123571,4.040534973144531
1502497158.769276,124102,3.7620487213134766
1502498835.165697,124665,4.010624885559082
1502499005.604299,124723,3.950843334197998
1502499710.069518,124948,3.314440965652466
1502500454.755887,125195,3.462054967880249
1502504693.87198,126592,3.6293466091156006
1502505458.336309,126840,3.7311244010925293
1502505627.014453,126893,3.7596189975738525
1502505941.188411,127002,3.977288246154785
1502506876.629487,127319,3.916902542114258
1502507264.598159,127447,4.164432525634766
1502507551.94668,127542,3.4122042655944824
1502508019.991968,127690,3.6487107276916504
1502508134.440032,127722,3.257477045059204
1502508326.827973,127783,3.5245866775512695
1502509073.815634,128017,3.950334072113037
1502509666.49741,128209,4.009723663330078
1502509979.445975,128313,3.745680809020996
1502511329.632739,128757,4.059767723083496
1502512219.164419,129051,3.8495497703552246
1502512732.410108,129223,3.7409563064575195
1502512990.387274,129311,3.7753307819366455
1502513030.500656,129323,3.118727445602417
1502513052.800572,129331,3.5008182525634766
1502513289.392599,129407,4.024720191955566
1502513424.544043,129450,3.600557804107666
1502514536.85747,129830,3.6394236087799072
1502514967.214572,129976,3.5038514137268066
1502516823.353495,130608,3.5636229515075684
1502517467.694517,130831,3.6237170696258545
1502519157.740779,131396,3.480590343475342
1502519187.505895,131407,3.7496743202209473
1502519716.211442,131585,3.305598735809326
1502519876.684391,131639,3.6327264308929443
1502520299.438431,131781,3.514662742614746
1502522627.299403,132581,3.560760498046875
1502523331.430261,132821,3.6557276248931885
1502524204.369728,133111,3.623391628265381
1502524531.628514,133223,3.3749732971191406
1502526166.872492,133765,3.3424572944641113
1502526628.580564,133912,3.959716796875
1502527733.965321,134281,4.047587871551514
1502527772.701561,134294,3.676429271697998
1502528021.845701,134379,3.773951530456543
1502529243.737027,134782,3.247640609741211
1502529566.933241,134888,3.9126691818237305
1502531537.566712,135520,3.892415761947632
1502532305.086111,135777,3.226134777069092
1502533330.990769,136114,3.1488571166992188
1502533758.517315,136263,3.60524845123291
1502534704.775887,136578,3.8367958068847656
1502534717.996872,136583,3.9572784900665283
1502534760.220918,136598,3.516343593597412
1502535780.923898,136928,3.7580206394195557
1502535873.496631,136960,3.8512768745422363
1502537453.342265,137470,3.5763845443725586
1502537520.009986,137489,3.581157684326172
1502537822.234632,137592,3.5698752403259277
1502538686.307525,137871,3.47715163230896
1502541611.94778,138844,3.254131317138672
1502542573.552411,139163,3.8884787559509277
1502543006.563706,139308,3.4546573162078857
1502543144.347436,139354,3.762916088104248
1502544785.10995,139880,3.9856088161468506
1502544909.793739,139920,4.1738386154174805
1502544991.668529,139950,3.8769516944885254
1502545023.045587,139960,3.6822285652160645
1502545247.495879,140036,3.539853096008301
1502545350.58222,140070,3.7300617694854736
1502545708.824512,140188,3.703721284866333
1502547125.823369,140655,3.4562971591949463
1502547834.948485,140894,3.650547981262207
1502548522.074939,141127,4.057964324951172
1502550527.877502,141758,3.8947858810424805
1502550635.420949,141794,3.2560651302337646
1502551567.971501,142101,3.6695733070373535
1502551570.464863,142102,3.614414930343628
1502552482.399074,142401,3.4915242195129395
1502553261.486407,142656,3.79543399810791
1502553684.150815,142797,3.7001829147338867
1502554568.839349,143091,3.6973085403442383
1502555028.550766,143247,3.434391975402832
1502555713.39846,143476,3.2947475910186768
1502556382.518876,143697,3.9466042518615723
1502556753.086156,143823,3.1272120475769043
1502557681.890334,144131,3.6131787300109863
1502557864.321274,144190,3.5898356437683105
1502558219.404271,144309,3.210552453994751
1502558597.600372,144433,3.5769002437591553
1502562179.671491,145616,3.8906409740448
1502562414.805914,145696,3.7616305351257324
1502563973.585682,146217,3.0251636505126953
1502565121.416692,146601,3.3358376026153564
1502567479.797904,147396,3.279946804046631
